procedure_name,parameter_name,data_type,max_length,precision,scale,is_output,has_default_value,default_value,parameter_id
__GetEndOfDayForStore,@OfficeNum,varchar,20,0,0,False,False,,1
__GetEndOfDayForStore,@TransDate,date,3,10,0,False,False,,2
__GetEndOfDayOrderForStore,@OfficeNum,varchar,20,0,0,False,False,,1
__GetEndOfDayOrderForStore,@TransDate,date,3,10,0,False,False,,2
__GetEndOfDayTenderDetailForStore,@OfficeNum,varchar,20,0,0,False,False,,1
__GetEndOfDayTenderDetailForStore,@TransDate,date,3,10,0,False,False,,2
__GetEyeglassExtraForStore,@OrderNum,int,4,10,0,False,False,,1
__GetEyeglassOrderFrameForStore,@OrderNum,int,4,10,0,False,False,,1
__GetEyeglassRxForStore,@OrderNum,int,4,10,0,False,False,,1
__GetInventoryActivityForStore,@ID,int,4,10,0,False,False,,1
__GetInvoice,@InvoiceNum,int,4,10,0,False,False,,1
__GetInvoiceDetailForStore,@OrderNum,int,4,10,0,False,False,,1
__GetInvoiceForStore,@OrderNum,int,4,10,0,False,False,,1
__GetInvoiceOrderForStore,@OrderNum,int,4,10,0,False,False,,1
__GetInvoiceOrders,@InvoiceNum,int,4,10,0,False,False,,1
__GetInvoiceProductForStore,@OrderNum,int,4,10,0,False,False,,1
__GetInvoiceProducts,@MessageId,varchar,36,0,0,False,False,,1
__GetInvoiceProducts,@OrderNums,varchar,-1,0,0,False,False,,2
__GetInvoiceProducts,@InvoiceNum,int,4,10,0,False,False,,3
__GetInvoiceProductTaxBreakdownForStore,@OrderNum,int,4,10,0,False,False,,1
__GetInvoiceTransactionForStore,@OrderNum,int,4,10,0,False,False,,1
__GetInvoiceTransactionForStore,@CompanyId,varchar,20,0,0,False,False,,2
__GetInvoiceTransactions,@InvoiceNum,int,4,10,0,False,False,,1
__GetInvoiceTransactions,@CompanyId,varchar,20,0,0,False,False,,2
__GetInvoiceTransactions,@MessageId,varchar,36,0,0,False,False,,3
__GetInvoiceTransactions,@OrderNums,varchar,-1,0,0,False,False,,4
__GetLabOrderForStore,@OrderNum,int,4,10,0,False,False,,1
__GetOrderInsuranceForStore,@OrderNum,int,4,10,0,False,False,,1
__GetPatientExamForStore,@OrderNum,int,4,10,0,False,False,,1
__GetPatientForStore,@OrderNum,int,4,10,0,False,False,,1
__GetTransactionPaymentForStore,@OrderNum,int,4,10,0,False,False,,1
AbortDacpacDeployment,@Message,varchar,4000,0,0,False,False,,1
AccessVerification,@PatientId,int,4,10,0,False,False,,1
AccessVerification,@CompanyId,varchar,50,0,0,False,False,,2
AccessVerification,@OfficeNum,varchar,8,0,0,False,False,,3
AccessVerification,@OrderId,int,4,10,0,False,False,,4
AccessVerification,@ExamId,int,4,10,0,False,False,,5
AddCompanyCarrierPlanAllowance,@companyID,varchar,20,0,0,False,False,,1
AddCompanyCarrierPlanAllowance,@CarrierId,varchar,50,0,0,False,False,,2
AddFeatureToTenant,@FeatureUUID,uniqueidentifier,16,0,0,False,False,,1
AddFeatureToTenant,@ContextType,varchar,50,0,0,False,False,,2
AddFeatureToTenant,@ContextKey,varchar,50,0,0,False,False,,3
AddFeatureToTenant,@IsAvailable,bit,1,1,0,False,False,,4
AddFeatureToTenant,@License,varchar,100,0,0,False,False,,5
AddFeatureToTenant,@PropertiesJSON,nvarchar,-1,0,0,False,False,,6
AddFeatureUUID,@FeatureUUID,varchar,40,0,0,False,False,,1
AddFeatureUUID,@FeatureType,varchar,20,0,0,False,False,,2
AddFeatureUUID,@Name,varchar,50,0,0,False,False,,3
AddFeatureUUID,@Description,varchar,255,0,0,False,False,,4
AddFeatureUUID,@StartDate,datetime,8,23,3,False,False,,5
AddFeatureUUID,@EndDate,datetime,8,23,3,False,False,,6
AddFeatureUUID,@DefaultPropertiesJson,varchar,2000,0,0,False,False,,7
AssignAllPriceListsToOffice,@OfficeNum,varchar,20,0,0,False,False,,1
AssignAllPriceListsToOffice,@CompanyID,varchar,20,0,0,False,False,,2
AuditDacpacChange,@JiraId,varchar,20,0,0,False,False,,1
AuditDacpacChange,@TableAffected,varchar,256,0,0,False,False,,2
AuditDacpacChange,@ActionPerformed,varchar,50,0,0,False,False,,3
AuditDacpacChange,@RowsAffected,int,4,10,0,False,False,,4
AuditDacpacChange,@Success,bit,1,1,0,False,False,,5
BalanceAgingReport,@cutOffDate,datetime,8,23,3,False,False,,1
BalanceAgingReport,@CarrierId,varchar,50,0,0,False,False,,2
BalanceAgingReport,@PlanId,int,4,10,0,False,False,,3
BalanceAgingReport,@OfficeNumber,varchar,-1,0,0,False,False,,4
BalanceAgingReport,@PatientId,int,4,10,0,False,False,,5
BalanceAgingReport,@DepositDate,datetime,8,23,3,False,False,,6
BalanceAgingReport,@CompanyID,varchar,20,0,0,False,False,,7
BalanceAgingReport,@ServiceDateFrom,datetime,8,23,3,False,False,,8
BalanceAgingReport,@ServiceDateTo,datetime,8,23,3,False,False,,9
BalanceAgingReportbyCloseID,@cutOffDate,datetime,8,23,3,False,False,,1
BalanceAgingReportbyCloseID,@CarrierId,varchar,50,0,0,False,False,,2
BalanceAgingReportbyCloseID,@PlanId,int,4,10,0,False,False,,3
BalanceAgingReportbyCloseID,@OfficeNumber,varchar,-1,0,0,False,False,,4
BalanceAgingReportbyCloseID,@PatientId,int,4,10,0,False,False,,5
BalanceAgingReportbyCloseID,@DepositDate,datetime,8,23,3,False,False,,6
BalanceAgingReportbyCloseID,@CompanyID,varchar,20,0,0,False,False,,7
BalanceAgingReportbyCloseID,@CloseID,int,4,10,0,False,False,,8
BalanceAgingReportbyCloseID,@ServiceDateFrom,datetime,8,23,3,False,False,,9
BalanceAgingReportbyCloseID,@ServiceDateTo,datetime,8,23,3,False,False,,10
BalanceAgingReportCarrierPatient,@cutOffDate,datetime,8,23,3,False,False,,1
BalanceAgingReportCarrierPatient,@CarrierId,varchar,50,0,0,False,False,,2
BalanceAgingReportCarrierPatient,@PlanId,int,4,10,0,False,False,,3
BalanceAgingReportCarrierPatient,@OfficeNumber,varchar,-1,0,0,False,False,,4
BalanceAgingReportCarrierPatient,@PatientId,int,4,10,0,False,False,,5
BalanceAgingReportCarrierPatient,@DepositDate,datetime,8,23,3,False,False,,6
BalanceAgingReportCarrierPatient,@CompanyID,varchar,20,0,0,False,False,,7
BalanceAgingReportCarrierPatient,@CarrierPatient,varchar,30,0,0,False,False,,8
BalanceAgingReportCarrierPatient,@closeid,varchar,10,0,0,False,False,,9
BalanceAgingReportCarrierPatient,@ServiceDateFrom,datetime,8,23,3,False,False,,10
BalanceAgingReportCarrierPatient,@ServiceDateTo,datetime,8,23,3,False,False,,11
BalanceAgingReportNew,@cutOffDate,datetime,8,23,3,False,False,,1
BalanceAgingReportNew,@CarrierId,varchar,50,0,0,False,False,,2
BalanceAgingReportNew,@PlanId,int,4,10,0,False,False,,3
BalanceAgingReportNew,@OfficeNumber,varchar,8,0,0,False,False,,4
BalanceAgingReportNew,@PatientId,int,4,10,0,False,False,,5
BalanceAgingReportNew,@DepositDate,datetime,8,23,3,False,False,,6
BalanceAgingReportNew,@CompanyID,varchar,20,0,0,False,False,,7
BalanceAgingReportNew,@ServiceDateFrom,datetime,8,23,3,False,False,,8
BalanceAgingReportNew,@ServiceDateTo,datetime,8,23,3,False,False,,9
blink_findPatient,@firstName,varchar,50,0,0,False,False,,1
blink_findPatient,@lastName,varchar,50,0,0,False,False,,2
CalcPOSTransactionSummaryByDate,@TransDate,datetime,8,23,3,False,False,,1
CalcPOSTransactionSummaryByDayCloseDate,@officenum,varchar,15,0,0,False,False,,1
CalcPOSTransactionSummaryByDayCloseDate,@TransDate,varchar,15,0,0,False,False,,2
CalculateOpticsDelta,@batchId,int,4,10,0,False,False,,1
CatalogCleanup_AllDuplicateFrameCollection,@SessionId,uniqueidentifier,16,0,0,False,False,,1
CatalogCleanup_AllDuplicateFrameCollection,@SkipDuplicateLoad,bit,1,1,0,False,False,,2
CatalogCleanup_AllDuplicateFrameCollection,@RunCleanup,bit,1,1,0,False,False,,3
CatalogCleanup_DuplicateFrameCollection,@UseSystemCollectionID,int,4,10,0,False,False,,1
CatalogCleanup_DuplicateFrameCollection,@SetNewManufacturerName,varchar,120,0,0,False,False,,2
CatalogCleanup_DuplicateFrameCollection,@SetNewBrandName,varchar,100,0,0,False,False,,3
CatalogCleanup_DuplicateFrameCollection,@SetNewCollectionName,varchar,100,0,0,False,False,,4
CatalogCleanup_DuplicateFrameCollection,@CollectionNameTobeCleaned,varchar,100,0,0,False,False,,5
