schema_name,procedure_name,type_desc,create_date,modify_date,days_between_create_modify,source_availability,definition_length,definition_preview
dbo,GetMonthlyAppliedPaymentSummary,SQL_STORED_PROCEDURE,2019-03-25 10:53:00.407,2025-08-06 07:56:50.803,2326,Has Source,3994,"CREATE PROCEDURE [dbo].[GetMonthlyAppliedPaymentSummary]
@fromDate as datetime,
@toDate as datetime,
@officeNum varchar(max),
@doctorIds varchar(max),
@companyId varchar(20),
@IncludeOldSystemCredit as bit

AS
BEGIN
   SET NOCOUNT ON;
   SELECT ID as OfficeID INTO #OfficeList from GetOfficeNumber(@officeNum);

  SELECT * FROM 
   (         
		SELECT  newId() AS ID, 
		    ISNULL(e.employee, 1) AS DoctorId,
            CASE WHEN LEN(LTRIM(RTRIM(e.ProfessionalSignature))) > 0  THEN e.ProfessionalS"
AdvancedMetric,GetTrizettoIntegration,SQL_STORED_PROCEDURE,2024-12-24 07:55:55.817,2025-08-05 07:57:15.780,224,Has Source,2918,"/****** Object:  StoredProcedure [AdvancedMetric].[GetTrizettoIntegration]    Script Date: 12/04/2024 3:40:12 PM ******/
-- =============================================
-- Author:		Anton
-- Create date: 12/04/2024
-- Description: Gets executed by Advanced Metric system to collect data from the enterprise client
-- This sp is to protect against potential violations via changing query string parameters 
-- =============================================
CREATE PROCEDURE [AdvancedMetric].[Get"
dbo,GenerateBillingAR,SQL_STORED_PROCEDURE,2014-03-10 00:08:09.167,2025-07-25 07:58:57.157,4155,Has Source,12133,"CREATE PROCEDURE [dbo].[GenerateBillingAR]    
@FromSerivceDate as datetime,  
@ToServiceDate as datetime,  
@FromTransDate as datetime,  
@ToTransDate as datetime,  
@LastDepositDate as datetime,  
@CompanyID as varchar(10),  
@Officenum as varchar(max)  
AS  
BEGIN  
      -- SET NOCOUNT ON added to prevent extra result sets from  
      -- interfering with SELECT statements.  
      SET NOCOUNT ON;  
declare @CloseID as int  
declare @PreviousCloseID as int  
declare @monthClosedDate as date "
AdvancedMetric,GetWorldPayIntegration,SQL_STORED_PROCEDURE,2024-12-24 07:55:55.823,2025-07-16 07:59:08.827,204,Has Source,2010,"/****** Object:  StoredProcedure [AdvancedMetric].[GetWorldPayIntegration]    Script Date: 12/04/2024 3:20:33 PM ******/
-- =============================================
-- Author:		Anton
-- Create date: 12/04/2024
-- Description: Gets executed by Advanced Metric system to collect data from the enterprise client
-- This sp is to protect against potential violations via changing query string parameters
-- =============================================
CREATE PROCEDURE [AdvancedMetric].[GetW"
dbo,GetPackageLite,SQL_STORED_PROCEDURE,2020-04-17 23:42:28.577,2025-07-03 15:04:07.680,1903,Has Source,3938,"CREATE PROCEDURE [dbo].[GetPackageLite] 
	@officeNum VARCHAR(8), 
	@description VARCHAR(50) = NULL,
	@packageID int = NULL,
	@isVSPIOF bit = 0
AS
BEGIN

	SET NOCOUNT ON;

	SET @description = CASE WHEN @description IS NULL OR @description = '' THEN '%'
					   ELSE '%' + @description + '%'
	END

	IF @packageID = 0 
		SET @packageID = NULL 

	IF OBJECT_ID('tempdb..#TempPackSchedule') IS NOT NULL
		DROP TABLE #TempPackSchedule

	CREATE TABLE #TempPackSchedule 
	( 
	    Itemvalue VARCHAR(15), 
	    "
dbo,CopyOfficeInvoiceConfigGoLiveSetup,SQL_STORED_PROCEDURE,2025-07-01 08:14:16.687,2025-07-01 08:14:16.687,0,Has Source,2193,"CREATE PROCEDURE [dbo].[CopyOfficeInvoiceConfigGoLiveSetup]
	@FromOfficeNum	varchar(8),
	@ToOfficeNum	varchar(8),
	@WithOverlay		int = 0	
AS
BEGIN
	SET NOCOUNT ON;

    MERGE OfficeInvoiceConfig AS T 
	USING(
		SELECT @ToOfficeNum AS OfficeNum
		    ,CompanyId
			,DisplayTaxID
			,DisplayPatientMRN
			,DisplayDiagnosisCodes
			,DisplayNextAppointmentDate
			,DisplayNPIOption
			,DisplayPatientAddress
			,DisplayCCSignatureCapture
			,DisplayPromiseDate
			,DisplayFrameItemNum
			,DisplayCPTCodes"
dbo,CopyOfficeData,SQL_STORED_PROCEDURE,2017-08-09 00:47:02.093,2025-07-01 08:14:16.683,2883,Has Source,39099,"-- IF EXISTS ( SELECT * FROM sysobjects WHERE  id = object_id(N'[dbo].[CopyOfficeData]') and OBJECTPROPERTY(id, N'IsProcedure') = 1 ) BEGIN DROP PROCEDURE [dbo].[CopyOfficeData] END
CREATE PROCEDURE [dbo].[CopyOfficeData]
@FromOfficeNum VARCHAR (100),
@ToOfficeNum VARCHAR (100),
@WithOverlay BIT
AS
BEGIN
	-- Internal variables BEGIN ---------------------------------------------------------------------------------
	DECLARE @totalChange int = 0;
	DECLARE @officenumber VARCHAR (100) = @FromOfficeNu"
dbo,spLoadPearleCustomer,SQL_STORED_PROCEDURE,2016-07-27 00:03:46.157,2025-06-25 07:55:37.537,3255,Has Source,5424,"CREATE PROCEDURE [dbo].[spLoadPearleCustomer]
(
	-- Patient
	 @homeOffice			VARCHAR(8) = NULL
	,@lastName				VARCHAR(30)
	,@firstName				VARCHAR(30)
	,@middleName			VARCHAR(1) = NULL
	,@title					INT = NULL
	,@sex					VARCHAR(1) = NULL
	,@birthDate				DATETIME = NULL
	,@email					VARCHAR(MAX) = NULL
	,@emailFlag				BIT = NULL
	,@isBadEmail			BIT = 0
	,@oldCustomerRecord		INT = NULL
	,@originOfficeNumber 	INT = NULL
	,@originPatientId		INT = NULL
	,@conversionOrigin		NVARCHAR(255) = NULL
	,@lastE"
dbo,WorkFlowPurge,SQL_STORED_PROCEDURE,2014-03-10 00:08:02.440,2025-06-25 07:55:37.533,4125,Has Source,2638,"
-- =============================================
-- Author:		Sam Callejo and Kris Jornlin
-- Create date: 01/30/2013
-- Description:	Gets only providers for listbox.
-- =============================================

CREATE PROCEDURE [dbo].[WorkFlowPurge]  
	@ProcessDate datetime,
	@ProcessToPurge varchar(50)
AS  
BEGIN  
	 
	 declare @ErrorCode int
	 
	 BEGIN TRY 
		BEGIN TRANSACTION
		 
		 if (@ProcessToPurge = 'appointments')
		 begin
			exec WorkFlowPurge_Appointments @Pr"
dbo,GetPatientLite,SQL_STORED_PROCEDURE,2014-03-10 00:09:07.817,2025-06-25 07:55:37.527,4125,Has Source,3127,"
CREATE PROCEDURE [dbo].[GetPatientLite]
@CompanyID as varchar(20) ,
@PatientID as int ,
@FirstName as varchar(30) ,
@LastName as varchar(30) ,
@BirthDate as varchar(100) ,
@PhoneNumber as varchar(50) ,
@InActive as varchar(10) ,
@MaxResults as int = 100,
@FirstResult as int = 0,
@TodaysPatient as varchar(10) ,
@OfficeNum as varchar(8)

AS
BEGIN
    SET NOCOUNT ON;
    declare @InActiveValue as bit
    declare @TodaysPatientValue as bit
    declare @MaxResultValue as int
    declare @IsPatientSh"
