schema_name,view_name,create_date,modify_date,definition_length,definition_preview
dbo,V_ExtSchedException,2014-03-10 00:07:59.213,2025-08-08 07:56:59.147,0,
dbo,V_ExtPatient,2014-03-10 00:08:54.387,2025-08-08 07:56:59.140,0,
dbo,V_ExtAppointment,2014-03-10 00:07:59.197,2025-08-08 07:56:59.130,0,
dbo,V_CashReceiptSummary,2014-03-10 00:08:06.650,2025-07-25 07:58:57.133,3469,"
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
CREATE VIEW [dbo].[V_CashReceiptSummary]
AS
SELECT     Convert(varchar,d.DayCloseId) + '-' +d.OfficeNum as ID ,d.DayCloseId, d.OfficeNum,o.CompanyID as CompanyID, o.OfficeName, d.TransDate as TransactionDate,
					  SUM(CASE WHEN dd.paymenttyp"
dbo,V_KPIDailyDetail,2013-02-20 00:00:53.837,2025-07-10 07:56:09.760,2119,"
/**************************/   
/****** CREATE VIEW ******/
/**************************/   

CREATE VIEW [dbo].[V_KPIDailyDetail]
AS
select ROW_NUMBER() over(order by KPIID) ID, ko.KPIID,
(case when (select UseBookIncentives from CompanyInfo where ID = o.CompanyID) = 1
then convert(date, p.BookDate)
else
convert(date, p.TransactionDate)
END) as Date,
p.OfficeNum, o.MarketId as MarketId, o.OfficeName, ko.KPIEmployee as EmployeeID,
sum(ko.quantity) as Quantity,(sum(ko.quantity) * k.CommRate) as A"
dbo,V_GetNetReceiptbyDetailedDoctor,2014-03-10 00:07:59.243,2025-06-25 07:55:36.780,9046,"CREATE View V_GetNetReceiptbyDetailedDoctor
 As
 
 select distinct Cast((pd.Amount* ISNULL((ISNULL(PT.Amount,0)/ NULLIF(ppt.Amount,0)),0)) as decimal(9,2)) as Amount,
 isum.DoctorID as DoctorID,E.FirstName + ' ' + E.LastName as Doctor, 'EG' as ordertype ,'POS' as Type,Oe.OfficeName as  OfficeName,PT.OfficeNum as officenum,
 Convert(datetime,convert(varchar, TransactionDate, 101)) as transactiondate,pt.PaymentID,O.CustomerID, P.FirstName + ' ' + P.LastName as PatientName,O.OrderNum,TransactionID,"
dbo,V_GetNetReceiptbyOutsideDoctor,2014-03-10 00:08:06.740,2025-06-25 07:55:36.770,9900,"---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
CREATE View [dbo].[V_GetNetReceiptbyOutsideDoctor] 
As 
select distinct o.OrderNum,cast((pd.Amount* (ISNULL(PT.Amount,0)/NULLIF(ppt.Amount,0))) as decimal(9,2)) as Amount,'' as DoctorID ,'OutsideDoctor' as  Doctor,  'E' as ordertype ,Convert(da"
dbo,V_GMFortneBillingReport,2010-04-29 21:33:24.567,2025-06-25 07:55:36.763,7530,"



CREATE VIEW [dbo].[V_GMFortneBillingReport]
AS
SELECT   convert(varchar,Row_number() over(order by  oi.OrderID)) as ID,
					'10' AS RECTYPE, '034' AS Provider, '0034' AS DISPENSER, +isnull(CONVERT(VARCHAR(8), bc.BillingDate,112),'')+ '' AS StateDate, bc.claimid AS STATENUM, 
                     (CASE WHEN inp.PurchaseOrder IS NULL THEN '' ELSE +substring(inp.PurchaseOrder,1,5) END) AS Cisco, '' AS AccountCode, 
                       cast(oi.OrderID as varchar(32)) AS OrderNum, 
"
dbo,V_AppointmentInsurance,2014-03-10 00:07:51.223,2025-06-25 07:55:36.750,3188,"
/**************************/   
/****** CREATE VIEW ******/
/**************************/   
CREATE VIEW [dbo].[V_AppointmentInsurance]
AS
SELECT                ROW_NUMBER() OVER (order by dbo.InsCarrier.CarrierName )  as ID,dbo.Appointment.ApptNum AS ApptNum, dbo.Appointment.ApptDate, CE.Value AS ApptStatus, 
                      dbo.V_PatientDemographics.PatientID, dbo.V_PatientDemographics.PatientFullName, 
                      dbo.V_PatientDemographics.PhoneNumber, dbo.V_PatientDem"
dbo,V_SalesReport,2009-07-16 17:43:52.240,2025-06-25 07:55:36.747,1387,"create VIEW [dbo].[V_SalesReport]
AS
select 
(select sum(Amount)+sum(Receivable)-sum(Tax) from V_InvoiceDetailwithInsurance v1 where idet.insplanid=v1.insplanid 
and v1.itemtype in(9,10,11,12,13,14,15,16)) as NetSaleLens,
(select sum(Amount)+sum(Receivable)-sum(Tax) from V_InvoiceDetailwithInsurance v2 where idet.insplanid=v2.insplanid 
and v2.itemtype =1) as NetSaleFrame,
(select sum(Amount)+sum(Receivable)-sum(Tax) from V_InvoiceDetailwithInsurance v3 where idet.insplanid=v3.insplanid "
